frame,kind,participants,dV,dE,dF,evidence,run
0,gap_appearance,"{""gap"": -4, ""cells"": [3, 5]}",,,,{},tracker
0,gap_appearance,"{""gap"": -3, ""cells"": [3, 5]}",,,,{},tracker
0,gap_disappearance,"{""gap"": -2, ""cells"": [3, 6]}",,,,{},tracker
0,gap_disappearance,"{""gap"": -1, ""cells"": [3, 6]}",,,,{},tracker
0,contact_death,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
0,contact_birth,"{""cells"": [3, 5]}",,,,"{""connectivity_change"": true}",tracker
1,gap_disappearance,"{""gap"": -2, ""cells"": [3, 5]}",,,,{},tracker
1,gap_disappearance,"{""gap"": -1, ""cells"": [3, 5]}",,,,{},tracker
1,contact_death,"{""cells"": [3, 5]}",,,,"{""connectivity_change"": true}",tracker
2,gap_appearance,"{""gap"": -1, ""cells"": [3, 5]}",,,,{},tracker
2,contact_birth,"{""cells"": [3, 5]}",,,,"{""connectivity_change"": true}",tracker
2,contact_birth,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
3,gap_disappearance,"{""gap"": -1, ""cells"": [3, 5]}",,,,{},tracker
3,contact_death,"{""cells"": [3, 5]}",,,,"{""connectivity_change"": true}",tracker
3,contact_death,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
4,contact_birth,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
4,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
5,contact_death,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
5,contact_death,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
6,contact_death,"{""cells"": [2, 4]}",,,,"{""connectivity_change"": true}",tracker
6,contact_birth,"{""cells"": [3, 5]}",,,,"{""connectivity_change"": true}",tracker
6,contact_birth,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
6,contact_birth,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
6,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
6,contact_birth,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
7,contact_death,"{""cells"": [3, 6]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
7,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
7,contact_death,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
7,contact_birth,"{""cells"": [2, 4]}",,,,"{""connectivity_change"": true}",tracker
7,contact_birth,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
7,contact_birth,"{""cells"": [4, 8]}",,,,"{""connectivity_change"": true}",tracker
7,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
8,contact_death,"{""cells"": [4, 8]}",,,,"{""connectivity_change"": true}",tracker
8,contact_death,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
8,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
8,contact_birth,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
9,contact_death,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
9,contact_death,"{""cells"": [2, 4]}",,,,"{""connectivity_change"": true}",tracker
10,division,"{""parent"": 6, ""children"": [11, 12]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
10,gap_appearance,"{""gap"": -1, ""cells"": [2, 4]}",,,,{},tracker
10,contact_birth,"{""cells"": [2, 4]}",,,,"{""connectivity_change"": true}",tracker
11,reseal,"{""gap"": -1, ""cells"": [2, 4], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
11,contact_death,"{""cells"": [3, 5]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
11,contact_death,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
11,contact_death,"{""cells"": [5, 11]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
11,contact_death,"{""cells"": [11, 12]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
11,contact_birth,"{""cells"": [2, 9]}",,,,"{""connectivity_change"": true}",tracker
12,contact_death,"{""cells"": [2, 9]}",,,,"{""connectivity_change"": true}",tracker
12,contact_death,"{""cells"": [5, 12]}",,,,"{""connectivity_change"": true}",tracker
12,contact_birth,"{""cells"": [3, 5]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
12,contact_birth,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
12,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
13,contact_death,"{""cells"": [3, 11]}",,,,"{""connectivity_change"": true}",tracker
13,contact_birth,"{""cells"": [7, 11]}",,,,"{""connectivity_change"": true}",tracker
14,contact_death,"{""cells"": [7, 11]}",,,,"{""connectivity_change"": true}",tracker
14,contact_birth,"{""cells"": [2, 9]}",,,,"{""connectivity_change"": true}",tracker
14,contact_birth,"{""cells"": [4, 8]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
15,rupture,"{""gap"": -1, ""cells"": [4, 7], ""caps"": []}",2.0,3.0,1.0,{},tracker
15,contact_death,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [2, 9]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [4, 8]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
16,gap_appearance,"{""gap"": -3, ""cells"": [3, 7]}",,,,{},tracker
16,gap_appearance,"{""gap"": -2, ""cells"": [3, 7]}",,,,{},tracker
16,reseal,"{""gap"": -1, ""cells"": [4, 7], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
16,contact_birth,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
17,gap_disappearance,"{""gap"": -2, ""cells"": [3, 7]}",,,,{},tracker
17,gap_disappearance,"{""gap"": -1, ""cells"": [3, 7]}",,,,{},tracker
17,contact_death,"{""cells"": [3, 5]}",,,,"{""connectivity_change"": true}",tracker
17,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
17,contact_birth,"{""cells"": [2, 9]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
18,rupture,"{""gap"": -1, ""cells"": [2, 9], ""caps"": []}",2.0,3.0,1.0,{},tracker
18,contact_birth,"{""cells"": [7, 11]}",,,,"{""connectivity_change"": true}",tracker
19,gap_disappearance,"{""gap"": -1, ""cells"": [2, 9]}",,,,{},tracker
19,contact_death,"{""cells"": [2, 9]}",,,,"{""connectivity_change"": true}",tracker
19,contact_birth,"{""cells"": [11, 12]}",,,,"{""connectivity_change"": true}",tracker
20,rupture,"{""gap"": -2, ""cells"": [2, 4], ""caps"": []}",2.0,3.0,1.0,{},tracker
20,rupture,"{""gap"": -1, ""cells"": [11, 12], ""caps"": []}",2.0,3.0,1.0,{},tracker
20,contact_death,"{""cells"": [7, 11]}",,,,"{""connectivity_change"": true}",tracker
20,contact_birth,"{""cells"": [5, 12]}",,,,"{""connectivity_change"": true}",tracker
21,division,"{""parent"": 5, ""children"": [13, 14]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
21,gap_disappearance,"{""gap"": -2, ""cells"": [11, 12]}",,,,{},tracker
21,reseal,"{""gap"": -1, ""cells"": [2, 4], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
21,contact_death,"{""cells"": [11, 12]}",,,,"{""connectivity_change"": true}",tracker
22,gap_appearance,"{""gap"": -1, ""cells"": [7, 8]}",,,,{},tracker
22,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
22,contact_birth,"{""cells"": [12, 14]}",,,,"{""connectivity_change"": true}",tracker
22,contact_birth,"{""cells"": [13, 14]}",,,,"{""connectivity_change"": true}",tracker
23,gap_disappearance,"{""gap"": -1, ""cells"": [7, 8]}",,,,{},tracker
23,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
23,contact_death,"{""cells"": [12, 14]}",,,,"{""connectivity_change"": true}",tracker
23,contact_death,"{""cells"": [13, 14]}",,,,"{""connectivity_change"": true}",tracker
23,contact_birth,"{""cells"": [3, 13]}",,,,"{""connectivity_change"": true}",tracker
24,contact_death,"{""cells"": [3, 13]}",,,,"{""connectivity_change"": true}",tracker
24,contact_birth,"{""cells"": [12, 14]}",,,,"{""connectivity_change"": true}",tracker
25,contact_birth,"{""cells"": [7, 11]}",,,,"{""connectivity_change"": true}",tracker
26,contact_death,"{""cells"": [7, 11]}",,,,"{""connectivity_change"": true}",tracker
26,contact_death,"{""cells"": [12, 14]}",,,,"{""connectivity_change"": true}",tracker
27,gap_appearance,"{""gap"": -1, ""cells"": [2, 4, 7, 8]}",,,,{},tracker
27,contact_birth,"{""cells"": [2, 8]}",,,,"{""connectivity_change"": true}",tracker
27,contact_birth,"{""cells"": [3, 14]}",,,,"{""connectivity_change"": true}",tracker
27,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
28,gap_disappearance,"{""gap"": -1, ""cells"": [2, 4, 7, 8]}",,,,{},tracker
28,contact_death,"{""cells"": [2, 8]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
28,contact_death,"{""cells"": [3, 14]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
28,contact_birth,"{""cells"": [2, 7]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
28,contact_birth,"{""cells"": [4, 9]}",,,,"{""connectivity_change"": true}",tracker
29,division,"{""parent"": 1, ""children"": [15, 16]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
29,contact_death,"{""cells"": [2, 7]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
29,contact_death,"{""cells"": [4, 9]}",,,,"{""connectivity_change"": true}",tracker
29,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
29,contact_birth,"{""cells"": [3, 14]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
30,rupture,"{""gap"": -1, ""cells"": [4, 7], ""caps"": []}",2.0,3.0,1.0,{},tracker
30,contact_birth,"{""cells"": [11, 12]}",,,,"{""connectivity_change"": true}",tracker
30,contact_birth,"{""cells"": [13, 14]}",,,,"{""connectivity_change"": true}",tracker
30,contact_birth,"{""cells"": [15, 16]}",,,,"{""connectivity_change"": true}",tracker
31,rupture,"{""gap"": -2, ""cells"": [2, 4], ""caps"": []}",2.0,3.0,1.0,{},tracker
31,reseal,"{""gap"": -1, ""cells"": [4, 7], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
31,contact_death,"{""cells"": [3, 14]}",,,,"{""connectivity_change"": true}",tracker
31,contact_death,"{""cells"": [11, 12]}",,,,"{""connectivity_change"": true}",tracker
31,contact_death,"{""cells"": [13, 14]}",,,,"{""connectivity_change"": true}",tracker
31,contact_death,"{""cells"": [15, 16]}",,,,"{""connectivity_change"": true}",tracker
31,contact_birth,"{""cells"": [2, 9]}",,,,"{""connectivity_change"": true}",tracker
31,contact_birth,"{""cells"": [3, 15]}",,,,"{""connectivity_change"": true}",tracker
31,contact_birth,"{""cells"": [7, 15]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
31,contact_birth,"{""cells"": [12, 14]}",,,,"{""connectivity_change"": true}",tracker
32,extrusion,"{""cell"": 9, ""sides"": 2, ""neighbours"": [0, 2]}",-1.0,-2.0,-1.0,"{""neighbours_meet_at_vertex"": false, ""new_contacts_among_neighbours"": 0}",tracker
32,entry,"{""cell"": 17, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
32,gap_disappearance,"{""gap"": -1, ""cells"": [2, 4]}",,,,{},tracker
32,contact_death,"{""cells"": [2, 4]}",,,,"{""connectivity_change"": true}",tracker
32,contact_death,"{""cells"": [3, 15]}",,,,"{""connectivity_change"": true}",tracker
32,contact_death,"{""cells"": [7, 15]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
32,contact_death,"{""cells"": [12, 14]}",,,,"{""connectivity_change"": true}",tracker
33,exit,"{""cell"": 10, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
33,contact_death,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
33,contact_death,"{""cells"": [4, 15]}",,,,"{""connectivity_change"": true}",tracker
33,contact_birth,"{""cells"": [2, 4]}",,,,"{""connectivity_change"": true}",tracker
34,contact_birth,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
35,division,"{""parent"": 3, ""children"": [18, 19]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
35,entry,"{""cell"": 20, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
35,gap_appearance,"{""gap"": -1, ""cells"": [15]}",,,,{},tracker
35,contact_birth,"{""cells"": [4, 15]}",,,,"{""connectivity_change"": true}",tracker
