frame,kind,participants,dV,dE,dF,evidence,run
0,gap_appearance,"{""gap"": -10, ""cells"": [3, 5]}",,,,{},tracker
0,gap_appearance,"{""gap"": -9, ""cells"": [3, 5]}",,,,{},tracker
0,gap_appearance,"{""gap"": -8, ""cells"": [3, 5]}",,,,{},tracker
0,gap_appearance,"{""gap"": -7, ""cells"": [3, 5]}",,,,{},tracker
0,gap_appearance,"{""gap"": -6, ""cells"": [3, 5]}",,,,{},tracker
0,gap_appearance,"{""gap"": -5, ""cells"": [3, 5]}",,,,{},tracker
0,gap_appearance,"{""gap"": -4, ""cells"": [3, 5]}",,,,{},tracker
0,gap_disappearance,"{""gap"": -3, ""cells"": [3, 6]}",,,,{},tracker
0,gap_disappearance,"{""gap"": -2, ""cells"": [3, 6]}",,,,{},tracker
0,gap_disappearance,"{""gap"": -1, ""cells"": [3, 6]}",,,,{},tracker
0,contact_death,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [4, 7]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
0,contact_birth,"{""cells"": [3, 5]}",,,,"{""connectivity_change"": true}",tracker
1,rupture,"{""gap"": -11, ""cells"": [2, 4], ""caps"": []}",2.0,3.0,1.0,{},tracker
1,rupture,"{""gap"": -10, ""cells"": [2, 4], ""caps"": []}",2.0,3.0,1.0,{},tracker
1,rupture,"{""gap"": -9, ""cells"": [2, 4], ""caps"": []}",2.0,3.0,1.0,{},tracker
1,rupture,"{""gap"": -8, ""cells"": [2, 4], ""caps"": []}",2.0,3.0,1.0,{},tracker
1,gap_disappearance,"{""gap"": -7, ""cells"": [3, 5]}",,,,{},tracker
1,gap_disappearance,"{""gap"": -6, ""cells"": [3, 5]}",,,,{},tracker
1,gap_disappearance,"{""gap"": -5, ""cells"": [3, 5]}",,,,{},tracker
1,gap_disappearance,"{""gap"": -4, ""cells"": [3, 5]}",,,,{},tracker
1,gap_disappearance,"{""gap"": -3, ""cells"": [3, 5]}",,,,{},tracker
1,gap_disappearance,"{""gap"": -2, ""cells"": [3, 5]}",,,,{},tracker
1,gap_disappearance,"{""gap"": -1, ""cells"": [3, 5]}",,,,{},tracker
