observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(3, 3, 2)","(4, 6, 2)","(-1, -3, 0)",2,4,2,2,2,False,35,37,2,0,[],0,0,0,0,0,0
"(-2, -3, -1)","(-2, -3, -1)","(0, 0, 0)",0,6,1,5,5,False,37,40,3,0,[],0,0,0,0,0,1
"(-3, -5, 0)","(0, 0, 0)","(-3, -5, 0)",2,6,0,6,4,False,40,43,3,0,[],0,0,0,0,0,2
"(3, 6, -1)","(0, 0, 0)","(3, 6, -1)",-4,5,0,5,4,False,43,33,-10,0,[],0,0,0,0,0,3
"(3, 5, 2)","(4, 6, 2)","(-1, -1, 0)",0,2,2,0,0,False,33,28,-5,0,[],0,0,0,0,0,4
"(0, -1, 0)","(-1, -1, 0)","(1, 0, 0)",1,4,3,1,1,False,28,28,0,0,[],0,0,0,0,0,5
"(4, 7, 1)","(2, 2, 0)","(2, 5, 1)",-2,6,2,4,1,False,28,13,-15,0,[],0,0,0,0,0,6
"(-8, -12, -3)","(-4, -6, -2)","(-4, -6, -1)",1,7,2,5,4,False,13,29,16,0,[],0,0,0,0,0,7
"(2, 3, 0)","(-1, -1, 0)","(3, 4, 0)",-1,5,1,4,2,False,29,24,-5,0,[],0,0,0,0,0,8
"(-4, -7, 0)","(1, 1, 0)","(-5, -8, 0)",3,6,1,5,3,False,24,40,16,0,[],0,0,0,0,0,9
"(-2, -6, -1)","(0, 0, 0)","(-2, -6, -1)",3,6,0,6,5,False,40,45,5,0,[],0,0,0,0,0,10
"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",0,0,0,0,0,True,45,45,0,0,[],0,0,0,0,0,11
"(3, 8, 1)","(0, 0, 0)","(3, 8, 1)",-4,6,0,6,5,False,45,31,-14,0,[],0,0,0,0,0,12
