frame,appearance,contact_birth,contact_death,disappearance,division,entry,exit,gap_appearance,gap_closure,gap_disappearance,gap_nucleation,reseal,rupture
0,0,0,2,0,1,0,0,0,0,0,0,0,1
1,0,3,2,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,0,0,1,1,0,0,0,0,0
3,0,4,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,1
5,0,0,2,0,0,0,0,0,0,0,0,1,1
6,0,3,0,0,0,0,1,2,0,0,0,0,0
7,0,1,3,0,0,0,0,0,0,1,0,2,0
8,0,2,1,0,0,0,0,1,0,1,0,0,0
9,0,1,3,0,0,1,0,0,0,1,0,0,0
10,0,0,5,0,0,0,1,0,0,0,0,0,0
12,0,5,0,0,0,0,0,1,0,0,0,0,0
13,0,1,1,0,0,0,0,0,0,0,0,0,2
14,0,4,0,0,0,0,0,1,0,0,0,3,0
15,0,1,8,0,0,0,0,1,0,1,0,0,0
16,0,2,1,0,0,0,0,0,0,1,0,0,0
17,0,2,0,0,0,0,0,1,0,0,0,0,0
18,0,1,1,0,0,0,0,0,0,1,0,0,0
19,0,4,0,0,0,0,0,0,0,0,0,0,1
20,0,1,4,0,0,0,0,1,0,1,0,0,0
21,0,2,3,0,0,0,0,1,0,1,0,0,1
22,0,1,1,0,0,0,0,0,0,1,0,1,0
23,0,2,2,0,0,0,0,1,0,0,0,0,2
24,0,4,1,0,0,1,0,0,0,1,0,1,0
25,0,1,3,0,1,0,1,0,0,0,0,1,0
26,0,3,3,0,0,1,0,1,0,0,0,0,2
27,0,0,8,0,0,0,1,0,0,3,0,0,0
28,0,7,0,0,0,1,1,3,0,0,0,0,0
29,0,1,2,0,0,0,0,0,0,2,0,1,0
30,0,1,0,0,0,0,0,0,0,0,0,0,2
31,0,0,3,0,0,1,0,0,0,0,0,1,0
32,0,3,0,0,0,0,1,0,0,0,0,1,0
33,0,1,6,0,0,0,0,0,0,0,0,0,0
34,0,4,1,0,0,0,0,2,0,0,0,0,0
35,0,2,1,0,0,0,0,0,0,0,0,2,0
36,0,0,5,0,0,0,0,0,0,0,0,0,1
37,0,8,0,0,0,1,0,4,0,0,0,0,1
38,0,0,9,0,0,0,1,0,0,5,0,1,0
39,0,4,0,0,0,0,0,0,0,0,0,0,0
40,0,2,2,0,0,0,0,0,0,0,0,0,1
41,0,2,2,0,0,0,0,0,0,0,0,1,1
42,0,3,1,0,0,0,0,2,0,0,0,1,1
43,0,0,4,0,0,1,0,0,0,2,0,1,1
44,0,3,1,0,0,0,1,0,0,0,0,1,0
45,0,2,2,0,1,0,0,0,0,0,0,0,0
46,0,2,2,0,0,1,0,1,0,0,0,0,0
47,0,3,6,0,0,0,0,1,0,0,0,0,3
48,0,3,1,0,1,0,1,1,0,0,0,2,0
49,0,6,5,0,0,1,0,0,0,3,0,1,0
50,0,2,3,0,0,0,1,0,0,0,0,0,0
51,0,2,3,0,0,1,0,1,0,0,0,0,0
52,0,0,2,0,0,0,0,0,0,1,0,0,1
53,0,6,2,0,1,1,1,3,0,1,0,0,2
54,0,4,3,0,0,0,1,2,0,2,0,2,1
55,0,1,4,0,0,1,0,0,1,2,0,1,5
56,0,1,5,0,0,0,1,0,0,0,0,5,0
57,0,3,2,0,0,0,0,2,0,0,0,0,0
58,0,6,4,0,0,0,0,0,0,2,0,0,0
59,0,4,3,0,1,1,0,2,0,0,0,0,0
60,0,3,5,0,0,0,0,1,0,1,0,1,2
61,0,5,4,0,0,0,1,0,0,0,0,2,0
62,0,3,6,0,0,1,0,1,0,1,0,0,1
63,0,5,2,0,0,0,0,2,0,1,0,1,2
64,0,2,2,0,0,0,0,1,0,1,0,0,0
65,0,2,4,0,0,0,0,2,0,2,0,2,1
66,0,4,2,0,0,0,1,4,0,1,0,2,0
67,0,1,6,0,0,1,0,0,0,4,0,0,1
68,1,5,1,1,1,0,0,0,0,0,0,1,2
69,0,2,5,0,0,0,1,1,0,0,0,2,0
70,0,2,1,0,0,0,0,2,0,0,0,1,1
71,0,3,5,0,0,1,1,3,0,0,0,1,0
72,0,2,4,0,0,1,1,0,0,1,0,1,2
73,0,4,3,0,0,0,1,1,0,2,0,2,0
74,0,2,2,0,0,0,0,0,0,0,0,1,0
75,0,2,4,0,0,0,0,0,0,0,0,0,2
76,0,2,2,0,0,0,1,0,0,1,0,1,0
77,0,3,1,0,1,1,0,1,0,0,0,0,0
78,0,3,4,0,0,0,0,0,0,0,0,0,1
79,0,3,3,0,0,2,1,2,1,1,0,1,0
80,0,3,5,0,0,1,0,0,0,0,0,2,1
81,0,6,3,0,0,0,0,1,0,0,0,1,2
82,0,2,5,0,0,0,0,0,0,3,0,0,0
