treatment,n_fields,G_eff,permeability_index,TJ_coverage,AJ_coverage,gap_fraction,paper_resistance_change_ohm,paper_perm_376Da_1h,paper_perm_70kDa_1h,paper_significant_effect,G_eff_ratio_to_DMSO
D1,1,1215.2778097172522,0.066591028509476,0.3153373970758227,0.3760039742991218,0.0,-50.0,1.0,1.0,False,1.2394231340598745
D10,1,846.488008718648,0.0463832274981042,0.4593410859070303,0.4621874825050542,0.0,-100.0,1.05,1.05,False,0.8633061612095647
D100,1,776.2555056844039,0.0425348443757847,0.3787604321882901,0.3455734709274,0.0,-600.0,1.3,1.1,True,0.791678268124094
DMSO,3,980.5189013508798,0.053756918223048365,0.37600005679263676,0.4141686648101521,0.0,0.0,1.0,1.0,False,1.0
E1,1,1147.475617325125,0.0628758140206674,0.3805474699708706,0.4398943045381377,0.0,-50.0,1.15,1.0,False,1.170273837397959
E10,1,1005.8830247838456,0.0563025872293412,0.3017612158099099,0.4148238434733129,0.1590642212441972,-50.0,1.1,1.0,False,1.0258680616947018
E100,1,1225.1300269711555,0.0671308797885748,0.3862020150675092,0.3563747189410581,0.0,-100.0,1.4,1.2,False,1.249471096664501
P1,1,879.7305873341936,0.0482047513362061,0.2897281427524786,0.3875021971860455,0.0,-100.0,1.1,1.05,False,0.8972092084325676
P10,1,993.3283527163176,0.0544293297599114,0.4111889083548291,0.4803155348202515,0.0,-250.0,1.2,1.15,False,1.0130639514932247
P100,1,1092.7856346045005,0.059879081776063,0.2289872713381509,0.364234998051305,0.0,-1500.0,2.1,1.85,True,1.1144972657834018
V1,1,1118.946815491633,0.0613125811194781,0.3481780744583742,0.3874996759955608,0.0,-50.0,1.0,1.0,False,1.141178220990986
V10,2,994.8610151558544,0.0545133118481142,0.4444164595012785,0.4383641491575284,0.0,-500.0,1.15,1.05,True,1.014627065103197
V100,2,1131.7503037620722,0.06201414700475985,0.3090978564534227,0.315816440319467,0.0,-1700.0,2.2,1.7,True,1.1542360909135336
